planeta,instrumento,obs,parte,bin_id,wavelength_min_um,wavelength_max_um,wavelength_center_um,bin_width_um,n_integracoes,n_integracoes_usadas,n_pixels_validos_mediana,fluxo_integrado_mediano,erro_integrado_mediano
TOI-2076_c,NIRISS_SOSS,obs12,HDU3,2,1.0,1.1,1.05,0.1,4160,4160,108.0,0.12945467711538836,2.0433792540063314e-05
TOI-2076_c,NIRISS_SOSS,obs12,HDU3,3,1.1,1.2,1.15,0.1,4160,4160,105.0,0.12832458450433443,1.9875394609694457e-05
TOI-2076_c,NIRISS_SOSS,obs12,HDU3,4,1.2,1.3,1.25,0.1,4160,4160,105.0,0.13100098725369186,2.0740139009258207e-05
TOI-2076_c,NIRISS_SOSS,obs12,HDU3,5,1.3,1.4,1.35,0.1,4160,4160,103.0,0.12978177579658892,2.2233231697529356e-05
TOI-2076_c,NIRISS_SOSS,obs12,HDU3,6,1.4,1.5,1.45,0.1,4160,4160,103.0,0.1292991957969546,2.4405003606948278e-05
TOI-2076_c,NIRISS_SOSS,obs12,HDU3,7,1.5,1.6,1.55,0.1,4160,4160,103.0,0.1273818318585157,2.6809561992988015e-05
TOI-2076_c,NIRISS_SOSS,obs12,HDU3,8,1.6,1.7,1.65,0.1,4160,4160,102.0,0.12438400284969625,2.9181598436302432e-05
TOI-2076_c,NIRISS_SOSS,obs12,HDU3,9,1.7,1.8,1.75,0.1,4160,4160,102.0,0.11452084913058926,3.0488771358829326e-05
TOI-2076_c,NIRISS_SOSS,obs12,HDU3,10,1.8,1.9,1.85,0.1,4160,4160,102.0,0.10402024544286886,3.164934428503747e-05
TOI-2076_c,NIRISS_SOSS,obs12,HDU3,11,1.9,2.0,1.95,0.1,4160,4160,102.0,0.09565911896622016,3.2686293068918524e-05
TOI-2076_c,NIRISS_SOSS,obs12,HDU3,12,2.0,2.1,2.05,0.1,4160,4160,101.0,0.08836884994289575,3.432989216310391e-05
TOI-2076_c,NIRISS_SOSS,obs12,HDU3,13,2.1,2.2,2.15,0.1,4160,4160,102.0,0.08260901330673792,3.50265707662406e-05
TOI-2076_c,NIRISS_SOSS,obs12,HDU3,14,2.2,2.3,2.25,0.1,4160,4160,101.0,0.07699340818660469,3.5941044226076794e-05
TOI-2076_c,NIRISS_SOSS,obs12,HDU3,15,2.3,2.4,2.35,0.1,4160,4160,101.0,0.07007014294097821,3.6869623481915594e-05
TOI-2076_c,NIRISS_SOSS,obs12,HDU3,16,2.4,2.5,2.45,0.1,4160,4160,101.0,0.06474595663192452,3.803989652275175e-05
TOI-2076_c,NIRISS_SOSS,obs12,HDU3,17,2.5,2.6,2.55,0.1,4160,4160,101.0,0.05974439764554007,3.9303764253206835e-05
TOI-2076_c,NIRISS_SOSS,obs12,HDU3,18,2.6,2.7,2.65,0.1,4160,4160,101.0,0.05476327386506714,4.079238467873987e-05
TOI-2076_c,NIRISS_SOSS,obs12,HDU3,19,2.7,2.8,2.75,0.1,4160,4160,101.0,0.048811330750868145,4.282116567490278e-05
TOI-2076_c,NIRISS_SOSS,obs12,HDU4,1,0.6,0.7,0.65,0.1,4160,4160,233.0,0.01571609801003091,5.928178675793883e-05
TOI-2076_c,NIRISS_SOSS,obs12,HDU4,2,0.7,0.8,0.75,0.1,4160,4160,222.0,0.005532272046549875,2.7707762721101037e-05
TOI-2076_c,NIRISS_SOSS,obs12,HDU4,3,0.8,0.9,0.85,0.1,4160,4160,216.0,0.029216909672334465,5.821558887346322e-05
TOI-2076_c,NIRISS_SOSS,obs12,HDU4,4,0.9,1.0,0.95,0.1,4160,4160,210.0,0.08722687463797694,0.0001334585735904784
TOI-2076_c,NIRISS_SOSS,obs12,HDU4,5,1.0,1.1,1.05,0.1,4160,4160,208.0,0.1370223918265045,0.00036264794582432794
TOI-2076_c,NIRISS_SOSS,obs12,HDU4,6,1.1,1.2,1.15,0.1,4160,4160,207.0,0.2783649297054924,0.0012842651787025384
TOI-2076_c,NIRISS_SOSS,obs12,HDU4,7,1.2,1.3,1.25,0.1,4160,4160,207.0,0.2770452474084896,0.0016517880687967313
TOI-2076_c,NIRISS_SOSS,obs12,HDU4,8,1.3,1.4,1.35,0.1,4160,4160,209.0,0.1580396505808126,0.0008515924843212706
TOI-2076_c,NIRSpec_G395H,obs11,NRS1,1,3.05,3.15,3.1,0.1,15179,15169,148.0,0.05125267206068609,3.4222770999968187e-05
TOI-2076_c,NIRSpec_G395H,obs11,NRS1,2,3.15,3.25,3.2,0.1,15179,15169,147.0,0.04805890796877384,3.058100907399663e-05
TOI-2076_c,NIRSpec_G395H,obs11,NRS1,3,3.25,3.35,3.3,0.1,15179,15169,148.0,0.045946116181506534,2.9372582032902952e-05
TOI-2076_c,NIRSpec_G395H,obs11,NRS1,4,3.35,3.45,3.4,0.1,15179,15169,148.0,0.04363928838858046,2.867185971231397e-05
TOI-2076_c,NIRSpec_G395H,obs11,NRS1,5,3.45,3.55,3.5,0.1,15179,15169,148.0,0.0411668534838478,2.759383729002335e-05
TOI-2076_c,NIRSpec_G395H,obs11,NRS1,6,3.55,3.65,3.6,0.1,15179,15169,149.0,0.03958997813028606,2.7237271700302685e-05
TOI-2076_c,NIRSpec_G395H,obs11,NRS2,1,3.85,3.95,3.9,0.1,15179,15179,149.0,0.03356511522727373,2.6707203419423328e-05
TOI-2076_c,NIRSpec_G395H,obs11,NRS2,2,3.95,4.05,4.0,0.1,15179,15179,149.0,0.03216517955818175,2.8562616510845476e-05
TOI-2076_c,NIRSpec_G395H,obs11,NRS2,3,4.05,4.15,4.1,0.1,15179,15179,150.0,0.03096163296636866,2.898898321529677e-05
TOI-2076_c,NIRSpec_G395H,obs11,NRS2,4,4.15,4.25,4.2,0.1,15179,15179,150.0,0.02932803583089697,2.9655092580991345e-05
TOI-2076_c,NIRSpec_G395H,obs11,NRS2,5,4.25,4.35,4.3,0.1,15179,15179,150.0,0.027657945400402503,2.9019690157360536e-05
TOI-2076_c,NIRSpec_G395H,obs11,NRS2,6,4.35,4.45,4.4,0.1,15179,15179,150.0,0.0256343090127858,3.0400905124004986e-05
TOI-2076_d,NIRISS_SOSS,obs14,HDU3,1,0.9,1.0,0.95,0.1,3620,3620,111.0,0.12756470373033332,2.1749200766986987e-05
TOI-2076_d,NIRISS_SOSS,obs14,HDU3,2,1.0,1.1,1.05,0.1,3620,3620,107.0,0.12750183643917273,2.025869990915235e-05
TOI-2076_d,NIRISS_SOSS,obs14,HDU3,3,1.1,1.2,1.15,0.1,3620,3620,106.0,0.1287903083434126,1.9890387477568824e-05
TOI-2076_d,NIRISS_SOSS,obs14,HDU3,4,1.2,1.3,1.25,0.1,3620,3620,105.0,0.13026581038359186,2.0662637585401728e-05
TOI-2076_d,NIRISS_SOSS,obs14,HDU3,5,1.3,1.4,1.35,0.1,3620,3620,103.0,0.12915512326784728,2.2162957823743675e-05
TOI-2076_d,NIRISS_SOSS,obs14,HDU3,6,1.4,1.5,1.45,0.1,3620,3620,103.0,0.1288297908808414,2.434791809925459e-05
TOI-2076_d,NIRISS_SOSS,obs14,HDU3,7,1.5,1.6,1.55,0.1,3620,3620,103.0,0.1271766959864069,2.6776620452777608e-05
TOI-2076_d,NIRISS_SOSS,obs14,HDU3,8,1.6,1.7,1.65,0.1,3620,3620,102.0,0.12402052682222817,2.9131462440632258e-05
TOI-2076_d,NIRISS_SOSS,obs14,HDU3,9,1.7,1.8,1.75,0.1,3620,3620,102.0,0.11410428072432097,3.0425386221132398e-05
TOI-2076_d,NIRISS_SOSS,obs14,HDU3,10,1.8,1.9,1.85,0.1,3620,3620,102.0,0.10378499528667198,3.160931223450257e-05
TOI-2076_d,NIRISS_SOSS,obs14,HDU3,11,1.9,2.0,1.95,0.1,3620,3620,101.0,0.09465627497938377,3.250294936829065e-05
TOI-2076_d,NIRISS_SOSS,obs14,HDU3,12,2.0,2.1,2.05,0.1,3620,3620,102.0,0.0890490375328541,3.444352412838736e-05
TOI-2076_d,NIRISS_SOSS,obs14,HDU3,13,2.1,2.2,2.15,0.1,3620,3620,101.0,0.08170295710058942,3.4816239749216885e-05
TOI-2076_d,NIRISS_SOSS,obs14,HDU3,14,2.2,2.3,2.25,0.1,3620,3620,102.0,0.07760866593647246,3.608030151762489e-05
TOI-2076_d,NIRISS_SOSS,obs14,HDU3,15,2.3,2.4,2.35,0.1,3620,3620,101.0,0.06982806358021981,3.682873367790452e-05
TOI-2076_d,NIRISS_SOSS,obs14,HDU3,16,2.4,2.5,2.45,0.1,3620,3620,101.0,0.06421809179140028,3.7954296862452734e-05
TOI-2076_d,NIRISS_SOSS,obs14,HDU3,17,2.5,2.6,2.55,0.1,3620,3620,101.0,0.05928621484059031,3.9269725089198745e-05
TOI-2076_d,NIRISS_SOSS,obs14,HDU3,18,2.6,2.7,2.65,0.1,3620,3620,101.0,0.054215175704465046,4.0805305939940455e-05
TOI-2076_d,NIRISS_SOSS,obs14,HDU3,19,2.7,2.8,2.75,0.1,3620,3620,101.0,0.047364177736022764,4.277811153746893e-05
TOI-2076_d,NIRISS_SOSS,obs14,HDU4,1,0.6,0.7,0.65,0.1,3620,3620,233.0,0.016180547629552906,5.9026265913360084e-05
TOI-2076_d,NIRISS_SOSS,obs14,HDU4,2,0.7,0.8,0.75,0.1,3620,3620,222.0,0.007396450065818239,2.7680209929763622e-05
TOI-2076_d,NIRISS_SOSS,obs14,HDU4,3,0.8,0.9,0.85,0.1,3620,3620,215.0,0.034420919657542404,5.7813259943829005e-05
TOI-2076_d,NIRISS_SOSS,obs14,HDU4,4,0.9,1.0,0.95,0.1,3620,3620,211.0,0.10726327278175928,0.00013348107928373528
TOI-2076_d,NIRISS_SOSS,obs14,HDU4,5,1.0,1.1,1.05,0.1,3620,3620,208.0,0.20272819267966205,0.0003625761670762406
TOI-2076_d,NIRISS_SOSS,obs14,HDU4,6,1.1,1.2,1.15,0.1,3620,3620,207.0,0.4913808212225754,0.001283955952318188
TOI-2076_d,NIRISS_SOSS,obs14,HDU4,7,1.2,1.3,1.25,0.1,3620,3620,207.0,0.5271873318261617,0.0016484521391477878
TOI-2076_d,NIRISS_SOSS,obs14,HDU4,8,1.3,1.4,1.35,0.1,3620,3620,209.0,0.2675099033255248,0.0008503590157382676
TOI-2076_d,NIRSpec_G395H,obs13,NRS1,1,3.05,3.15,3.1,0.1,13208,13198,148.0,0.05111430622026121,3.429908300442814e-05
TOI-2076_d,NIRSpec_G395H,obs13,NRS1,2,3.15,3.25,3.2,0.1,13208,13198,147.0,0.04796426729017957,3.053272643062693e-05
TOI-2076_d,NIRSpec_G395H,obs13,NRS1,3,3.25,3.35,3.3,0.1,13208,13198,148.0,0.0458801649763817,2.9337536353507476e-05
TOI-2076_d,NIRSpec_G395H,obs13,NRS1,4,3.35,3.45,3.4,0.1,13208,13198,148.0,0.043546340239606414,2.863597716510816e-05
TOI-2076_d,NIRSpec_G395H,obs13,NRS1,5,3.45,3.55,3.5,0.1,13208,13198,149.0,0.041318598265320486,2.7605829978015027e-05
TOI-2076_d,NIRSpec_G395H,obs13,NRS1,6,3.55,3.65,3.6,0.1,13208,13198,148.0,0.03930641452400674,2.7146317955138432e-05
TOI-2076_d,NIRSpec_G395H,obs13,NRS2,1,3.85,3.95,3.9,0.1,13208,13208,149.0,0.033569106459586245,2.6731417355422573e-05
TOI-2076_d,NIRSpec_G395H,obs13,NRS2,2,3.95,4.05,4.0,0.1,13208,13208,150.0,0.03236568592069236,2.8672323817400495e-05
TOI-2076_d,NIRSpec_G395H,obs13,NRS2,3,4.05,4.15,4.1,0.1,13208,13208,149.0,0.030767598003549862,2.880370292756258e-05
TOI-2076_d,NIRSpec_G395H,obs13,NRS2,4,4.15,4.25,4.2,0.1,13208,13208,150.0,0.029320117384176118,2.9643502420727716e-05
TOI-2076_d,NIRSpec_G395H,obs13,NRS2,5,4.25,4.35,4.3,0.1,13208,13208,150.0,0.02767349515658397,2.902971135701177e-05
TOI-2076_d,NIRSpec_G395H,obs13,NRS2,6,4.35,4.45,4.4,0.1,13208,13208,150.0,0.025614935295166983,3.0410083627130413e-05
